,H2OSOI,SOILLIQ,SOILICE,TSOI,W_SCALAR,PCT_CLAY,AGNPP,PRECIP,RAIN,SNOW,TBOT,GPP,AR,NPP,LITFALL
33,0.22809446,2.8695004,1.5519205,2.1611938,0.59192634,11.5,0.0,2.12075,1.5840881,0.53666186,0.17630005,0.0,0.100057706,-0.100057706,1.1587311
34,0.22095811,2.7222009,1.5561138,2.8573303,0.56793123,11.5,0.0,0.503,0.503,0.0,2.456665,0.0,0.10609321,-0.10609321,1.1587102
35,0.19365323,3.2613678,0.56092584,5.4304504,0.6932306,11.5,0.0,7.81325,2.2656116,5.5476384,5.707672,0.0,0.12018337,-0.12018337,1.1586308
36,0.19241206,3.670497,0.16299142,7.1090393,0.7490603,11.5,0.0,0.8749999,0.8144025,0.06059739,6.838806,0.0,0.12553814,-0.12553814,1.1585178
37,0.18643118,3.7286239,0.0,5.7626953,0.7547379,11.5,0.0,5.2229996,5.2229996,0.0,4.1717224,0.0,0.11415296,-0.11415296,1.1584672
38,0.20631085,4.126217,0.0,6.490509,0.7956683,11.5,0.0,11.46575,8.5982,2.86755,5.2809753,0.0,0.11953355,-0.11953355,1.1583908
39,0.22185627,3.8062782,0.5784868,4.557312,0.75217766,11.5,0.0,0.0,0.0,0.0,2.4084167,0.0,0.1085323,-0.1085323,1.1583116
40,0.18937808,3.7182953,0.06351732,3.8413086,0.7551134,11.5,0.0,0.0,0.0,0.0,2.0962524,0.0,0.10421484,-0.10421484,1.1582506
41,0.22354488,3.6157718,0.7841504,4.033661,0.7034011,11.5,0.0,11.908251,11.908251,0.0,3.049286,0.0,0.10732589,-0.10732589,1.1581925
42,0.23486651,4.6973305,0.0,6.5097046,0.8408433,11.5,0.0,33.7685,32.53782,1.2306807,6.57428,0.0,0.1220077,-0.1220077,1.1581216
43,0.218611,4.281169,0.083493985,6.3283997,0.811646,11.5,0.0,6.739499,6.739499,0.0,5.0983887,0.0,0.11890656,-0.11890656,1.1580646
44,0.21617512,4.0535254,0.24756902,4.792633,0.7885489,11.5,0.0,4.22925,4.22925,0.0,3.190918,0.0,0.11000225,-0.11000225,1.1580036
45,0.24378687,3.4317584,1.3241286,4.189331,0.6883808,11.5,0.0,0.62875,0.041635826,0.5871142,2.3891907,0.0,0.1057549,-0.1057549,1.1579312
46,0.23697624,3.468244,1.1657642,5.732422,0.695418,11.5,0.0,2.8904996,2.4421444,0.44835532,5.1858215,0.0,0.117386445,-0.117386445,1.1578678
47,0.19999593,3.9402814,0.05468768,7.730011,0.7765682,11.5,0.0,6.27325,5.6365075,0.63674253,7.320404,0.0,0.12646657,-0.12646657,1.1578043
48,0.20854416,3.4491143,0.6618623,4.0236816,0.71457624,11.5,0.0,1.1155,0.120909736,0.9945903,1.8378296,0.0,0.103662685,-0.103662685,1.1577411
49,0.22567336,3.9264576,0.53828794,5.377838,0.77424484,11.5,0.0,7.4694996,4.871769,2.5977306,3.1670227,0.0,0.109339714,-0.109339714,1.157678
50,0.23544756,3.6096427,1.0080659,4.990265,0.7395902,11.5,0.0,0.75124997,0.64684606,0.104403935,3.4866028,0.0,0.1102179,-0.1102179,1.157618
51,0.19448963,3.5017033,0.3558778,5.439148,0.72821945,11.5,0.0,0.25075,0.09512359,0.1556264,3.9827576,0.0,0.11400199,-0.11400199,1.1575558
52,0.23388574,3.1267185,1.4222636,6.613678,0.6314112,11.5,0.0,2.7500002,2.151569,0.5984313,4.5460205,0.0,0.12094334,-0.12094334,1.1575068
53,0.19428937,3.5588105,0.2998379,7.2364807,0.73041606,11.5,0.0,5.02,4.588843,0.4311571,6.283539,0.0,0.12291151,-0.12291151,1.1574402
54,0.1873003,3.7432342,0.002541488,6.1931458,0.75606817,11.5,0.0,2.2572498,2.2572498,0.0,5.388153,0.0,0.113962166,-0.113962166,1.1573808
55,0.18914104,3.7828207,0.0,8.206482,0.7572538,11.5,0.0,5.8747497,5.8747497,0.0,7.3942566,0.0,0.12351461,-0.12351461,1.1573179
