"","site_code","site","plot","time.point","material","species","soil.vwc","soil.pH","moisturePercent.whc","moisturePercent.gwc","MAT","MAP","Elevation","Longitude","Latitude","soil.SIR","high.rep","moisture.trt","temp.trt","cumulativeCO2Flux_mgCpergramSL","perc_decomp_T1","perc_decomp_T2","moist_temp_resp_40_25","moist_temp_resp_80_25","moist_temp_resp_40_15","moist_temp_resp_80_15","ligninPercent","nitrogenPercent","carbonPercent","site_plot","site_time","material_site_time","material_time","inc_trt","K","r","rK_NA","Copiotroph","Oligotroph","CO_NA","r_K","C_O","copiotroph","oligotroph","CO.eggo","copio.genus","oligo.genus","CO.genus.eggo"
"171","LT0TREEP34","TREE",34,0,"litter","TSCA",4.966666667,5.03,32.84957637,15.7744852,4.8,797,472,-89.56869973,45.49797132,13.11988052,FALSE,NA,NA,NA,0.127418024,0.303112128,NA,NA,NA,NA,7.45,0.99,49.44,"TREE-34","TREE-0","litterTREE-0","litter0","TNA_MNA"," 456","1364"," 627","1597"," 118"," 732",2.99122807017544,13.5338983050847,"1317","  67",19.6567164179104,"1149"," 458",2.50873362445415
"172","LT0TREEP35","TREE",35,0,"litter","TSCA",10.4,5.03,30.48017726,16.58066187,4.8,797,472,-89.58290739,45.49283561,4.134469206,FALSE,NA,NA,NA,0.045755325,0.302093268,NA,NA,NA,NA,7.45,0.99,49.44,"TREE-35","TREE-0","litterTREE-0","litter0","TNA_MNA"," 269","1614"," 564","1284","  75","1088",6,17.12,"1233","  18",68.5,"1255"," 518",2.42277992277992
"173","LT0TREEP4","TREE",4,0,"litter","ACSA",26.4,4.5,46.38449472,32.52446265,4.8,797,472,-89.58383469,45.4934156,5.128411423,TRUE,NA,NA,NA,0.134389644,0.431305749,NA,NA,NA,NA,7.483333333,1.446666667,47.01,"TREE-4","TREE-0","litterTREE-0","litter0","TNA_MNA"," 295","1738"," 414","1600","   6"," 841",5.89152542372881,266.666666666667,"1615","   7",230.714285714286,"1355"," 360",3.76388888888889
"174","LT0TREEP8","TREE",8,0,"litter","TSCA",60,4.02,86.00904115,79.38597422,4.8,797,472,-89.58451929,45.4932195,22.29597302,FALSE,NA,NA,NA,0.216458752,0.370455179,NA,NA,NA,NA,7.45,0.99,49.44,"TREE-8","TREE-0","litterTREE-0","litter0","TNA_MNA"," 371","1557"," 519","1318","  48","1081",4.19676549865229,27.4583333333333,"1092","  23",47.4782608695652,"1172"," 611",1.91816693944354
"175","ST0BARTP03","BART",3,0,"soil","ACRU",28.8,4.11,78.36983404,67.40843535,6.2,1325,232,-71.28882458,44.06392923,17.17325542,TRUE,NA,NA,NA,0.398469456,0.525804478,NA,NA,NA,NA,9.982,1.458,52.232,"BART-3","BART-0","soilBART-0","soil0","TNA_MNA"," 921"," 418","1108"," 564"," 369","1514",0.45385450597177,1.52845528455285,"354"," 81",4.37037037037037,"1627"," 676",2.40680473372781
"176","ST0BARTP08","BART",8,0,"soil","TSCA",20.56666667,4.21,80.10158357,65.80955796,6.2,1325,232,-71.28852624,44.06371699,25.77615924,FALSE,NA,NA,NA,0.17166132,0.483654756,47.50438897,50.72109784,21.29333786,28.26609242,10.906,0.963,52.26,"BART-8","BART-0","soilBART-0","soil0","TNA_MNA","994","532","921"," 657"," 273","1517",0.535211267605634,2.40659340659341,"427"," 62",6.88709677419355,"1561"," 688",2.26889534883721
"177","ST0BARTP09","BART",9,0,"soil","TSCA",15.56666667,NA,NA,39.14601227,6.2,1325,232,NA,NA,NA,FALSE,NA,NA,NA,0.149832036,0.409532346,NA,NA,NA,NA,10.906,0.963,52.26,"BART-9","BART-0","soilBART-0","soil0","TNA_MNA"," 810"," 561","1076"," 608"," 374","1465",0.692592592592593,1.62566844919786,"399"," 84",4.75,"1506"," 708",2.1271186440678
"178","ST0BARTP11","BART",11,0,"soil","FAGR",13.56666667,4.5,59.49117086,46.98405036,6.2,1325,232,-71.28541055,44.06287865,9.857681079,TRUE,NA,NA,NA,0.178086623,0.350457052,44.93256574,46.1899177,17.69909606,28.8918525,22.222,1.654,51.745,"BART-11","BART-0","soilBART-0","soil0","TNA_MNA","795","671","981"," 674"," 365","1408",0.844025157232704,1.84657534246575,"499","106",4.70754716981132,"1516"," 630",2.40634920634921
"179","ST0BARTP17","BART",17,0,"soil","ACRU",34.73333333,4.06,72.91232063,62.14822335,6.2,1325,232,-71.28434691,44.06306306,15.10074241,TRUE,NA,NA,NA,0.285751969,0.512831819,NA,NA,NA,NA,9.982,1.458,52.232,"BART-17","BART-0","soilBART-0","soil0","TNA_MNA"," 729"," 501","1217"," 572"," 333","1542",0.687242798353909,1.71771771771772,"386"," 82",4.70731707317073,"1425"," 787",1.81067344345616
"180","ST0BARTP21","BART",21,0,"soil","ACRU",18.06666667,4.23,68.2780601,54.40921026,6.2,1325,232,-71.29099025,44.06018075,11.45308735,TRUE,NA,NA,NA,0.37789687,0.481094081,NA,NA,NA,NA,9.982,1.458,52.232,"BART-21","BART-0","soilBART-0","soil0","TNA_MNA"," 910"," 402","1135"," 670"," 417","1360",0.441758241758242,1.60671462829736,"348"," 54",6.44444444444444,"1336"," 936",1.42735042735043
"181","ST0BARTP23","BART",23,0,"soil","ACRU",25.86666667,4.27,73.65354844,59.05432111,6.2,1325,232,-71.28881863,44.06131816,12.51073677,TRUE,NA,NA,NA,0.375905547,0.585910571,36.93401607,46.28329806,23.39926766,31.8933139,9.982,1.458,52.232,"BART-23","BART-0","soilBART-0","soil0","TNA_MNA"," 849"," 476","1122"," 582"," 427","1438",0.560659599528857,1.36299765807963,"412"," 72",5.72222222222222,"1608"," 670",2.4
"182","ST0BARTP26","BART",26,0,"soil","TSCA",32.33333333,5.18,53.10984826,65.55140671,6.2,1325,232,-71.288679,44.06210313,14.59698541,FALSE,NA,NA,NA,0.204984462,0.45629337,45.71369802,47.06791316,NA,32.06237617,10.906,0.963,52.26,"BART-26","BART-0","soilBART-0","soil0","TNA_MNA"," 783"," 549","1115"," 499"," 514","1434",0.701149425287356,0.970817120622568,"420","163",2.57668711656442,"1681"," 483",3.48033126293996
"183","ST0GRSMP01","GRSM",1,0,"soil","QUMO",20.13333333,4.3,68.46322527,42.56946113,13.1,1375,579,-83.51120271,35.68962272,17.04117747,TRUE,NA,NA,NA,0.402658548,0.495504833,NA,NA,NA,NA,10.98555556,2.07,48.48333333,"GRSM-1","GRSM-0","soilGRSM-0","soil0","TNA_MNA"," 574"," 588","1285"," 569"," 412","1466",1.02439024390244,1.38106796116505,"402"," 86",4.67441860465116,"1501"," 728",2.06181318681319
"184","ST0GRSMP04","GRSM",4,0,"soil","LITU",22.26666667,4.87,53.8590297,33.21296742,13.1,1375,579,-83.5104341,35.68928036,8.575828598,FALSE,NA,NA,NA,0.459202482,0.607713764,NA,NA,NA,NA,12.21266667,2.275,46.189,"GRSM-4","GRSM-0","soilGRSM-0","soil0","TNA_MNA"," 787"," 420","1240"," 720"," 386","1341",0.533672172808132,1.86528497409326,"397"," 58",6.8448275862069,"1432"," 839",1.70679380214541
"185","ST0GRSMP05","GRSM",5,0,"soil","QUMO",16.16666667,4.75,47.90278232,27.9067089,13.1,1375,579,-83.51026648,35.68947186,8.885959749,TRUE,NA,NA,NA,0.469547058,0.611455155,NA,NA,NA,NA,10.98555556,2.07,48.48333333,"GRSM-5","GRSM-0","soilGRSM-0","soil0","TNA_MNA","874","592","981"," 694"," 416","1337",0.677345537757437,1.66826923076923,"436"," 78",5.58974358974359,"1551"," 644",2.4083850931677
"186","ST0GRSMP08","GRSM",8,0,"soil","QUMO",21.33333333,4.25,63.15905115,43.65258798,13.1,1375,579,-83.50898663,35.68986082,10.56077746,TRUE,NA,NA,NA,0.442488606,0.611721141,NA,NA,NA,NA,10.98555556,2.07,48.48333333,"GRSM-8","GRSM-0","soilGRSM-0","soil0","TNA_MNA"," 745"," 484","1218"," 566"," 491","1390",0.649664429530201,1.15274949083503,"418","152",2.75,"1365"," 758",1.80079155672823
"187","ST0GRSMP11","GRSM",11,0,"soil","ACRU",21.6,4.78,55.24796227,37.76249241,13.1,1375,579,-83.50779175,35.69007229,8.513055257,FALSE,NA,NA,NA,0.654903822,0.501002983,NA,NA,NA,NA,8.596666667,1.566666667,47.895,"GRSM-11","GRSM-0","soilGRSM-0","soil0","TNA_MNA"," 770"," 435","1242"," 468"," 734","1245",0.564935064935065,0.637602179836512,"376","276",1.36231884057971,"1474"," 498",2.95983935742972
"188","ST0HARVP01","HARV",1,0,"soil","ACRU",49.03333333,4.83,77.82570748,73.08817731,7.4,1199,351,-72.171021,42.536636,13.11501361,FALSE,NA,NA,NA,NA,0.495232845,NA,NA,NA,NA,12.78444444,1.558888889,49.37666667,"HARV-1","HARV-0","soilHARV-0","soil0","TNA_MNA"," 922"," 449","1076"," 480"," 660","1307",0.486984815618221,0.727272727272727,"344","332",1.03614457831325,"1453"," 588",2.47108843537415
"189","ST0HARVP09","HARV",9,0,"soil","PIST",22.1,4.78,52.92644524,36.69713784,7.4,1199,351,-72.170898,42.540878,5.836917868,FALSE,NA,NA,NA,0.219390262,0.465547344,NA,NA,NA,NA,19.7175,1.2575,51.990625,"HARV-9","HARV-0","soilHARV-0","soil0","TNA_MNA"," 783"," 445","1219"," 641"," 367","1439",0.568326947637292,1.74659400544959,"438"," 74",5.91891891891892,"1237"," 984",1.25711382113821
"190","ST0HARVP28","HARV",28,0,"soil","PIST",27.5,4.09,61.80995548,48.22299372,7.4,1199,351,-72.178543,42.541161,8.581623986,FALSE,NA,NA,NA,0.150153479,0.405508287,NA,NA,NA,NA,19.7175,1.2575,51.990625,"HARV-28","HARV-0","soilHARV-0","soil0","TNA_MNA","1020"," 619"," 808"," 747"," 227","1473",0.606862745098039,3.29074889867841,"555"," 83",6.68674698795181,"1560"," 707",2.20650636492221
"191","ST0HARVP31","HARV",31,0,"soil","PIST",24.8,4.58,58.07031911,40.36097929,7.4,1199,351,-72.181335,42.541046,8.193603165,FALSE,NA,NA,NA,0.202770771,0.365840226,NA,NA,NA,NA,19.7175,1.2575,51.990625,"HARV-31","HARV-0","soilHARV-0","soil0","TNA_MNA","1035"," 552"," 860"," 683"," 315","1449",0.533333333333333,2.16825396825397,"475","131",3.62595419847328,"1292"," 857",1.50758459743291
"192","ST0HARVP36","HARV",36,0,"soil","ACRU",100,4.07,86.67047181,90.32459549,7.4,1199,351,-72.181564,42.538696,23.98367102,FALSE,NA,NA,NA,0.310738926,0.498130825,NA,NA,NA,NA,12.78444444,1.558888889,49.37666667,"HARV-36","HARV-0","soilHARV-0","soil0","TNA_MNA","1116"," 326","1005"," 384"," 519","1544",0.292114695340502,0.739884393063584,"289","521",0.554702495201535,"1674"," 411",4.07299270072993
"193","ST0LENOP01","LENO",1,0,"soil","QUPA",29.76666667,5.79,40.13131548,27.57374719,18.1,1386,20,-88.15943722,31.856724,4.416179303,TRUE,NA,NA,NA,0.293757303,0.594073292,NA,NA,NA,NA,25.01333333,1.983333333,49.53,"LENO-1","LENO-0","soilLENO-0","soil0","TNA_MNA"," 596"," 384","1467"," 349"," 416","1682",0.644295302013423,0.838942307692308,"277","144",1.92361111111111,"1265"," 454",2.7863436123348
"194","ST0LENOP02","LENO",2,0,"soil","LIST",19.2,5.5,39.28732117,23.10139553,18.1,1386,20,-88.15969647,31.85706352,3.782056192,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.93166667,2.361666667,49.36,"LENO-2","LENO-0","soilLENO-0","soil0","TNA_MNA"," 835"," 529","1083"," 507"," 352","1588",0.633532934131737,1.44034090909091,"399","204",1.95588235294118,"1557"," 458",3.39956331877729
"195","ST0LENOP04","LENO",4,0,"soil","PITA",24.66666667,5.73,45.99835363,27.95005359,18.1,1386,20,-88.16049811,31.85741235,6.073012493,TRUE,NA,NA,NA,0.304989572,0.562971368,NA,NA,NA,NA,NA,NA,NA,"LENO-4","LENO-0","soilLENO-0","soil0","TNA_MNA"," 651"," 466","1330"," 430"," 405","1612",0.715821812596006,1.06172839506173,"377","193",1.95336787564767,"1387"," 427",3.24824355971897
"196","ST0LENOP08","LENO",8,0,"soil","QUPA",23.83333333,5.81,36.10735931,23.9842933,18.1,1386,20,-88.16183775,31.85754549,4.802329901,TRUE,NA,NA,NA,0.492640484,0.745752629,NA,NA,NA,NA,25.01333333,1.983333333,49.53,"LENO-8","LENO-0","soilLENO-0","soil0","TNA_MNA"," 815"," 412","1220"," 501"," 445","1501",0.505521472392638,1.12584269662921,"363","186",1.95161290322581,"1346"," 477",2.82180293501048
"197","ST0LENOP12","LENO",12,0,"soil","LIST",49.7,4.87,53.24454142,48.08277783,18.1,1386,20,-88.16339808,31.85779946,5.467130932,FALSE,NA,NA,NA,0.339110636,0.504966554,NA,NA,NA,NA,18.93166667,2.361666667,49.36,"LENO-12","LENO-0","soilLENO-0","soil0","TNA_MNA","1180"," 413"," 854"," 476"," 528","1443",0.35,0.901515151515151,"359","464",0.773706896551724,"1478"," 478",3.09205020920502
"198","ST0LENOP15","LENO",15,0,"soil","PITA",29.93333333,5.55,45.33176208,27.17078109,18.1,1386,20,-88.16278678,31.85683978,5.844078519,TRUE,NA,NA,NA,0.318448028,0.542583044,NA,NA,NA,NA,NA,NA,NA,"LENO-15","LENO-0","soilLENO-0","soil0","TNA_MNA"," 721"," 409","1317"," 378"," 500","1569",0.567267683772538,0.756,"320","233",1.37339055793991,"1389"," 398",3.48994974874372
"199","ST0LENOP18","LENO",18,0,"soil","QUPA",28.1,5.55,43.59904397,26.32672634,18.1,1386,20,-88.16182176,31.85636618,4.339403808,TRUE,NA,NA,NA,0.410456051,0.7251138,NA,NA,NA,NA,25.01333333,1.983333333,49.53,"LENO-18","LENO-0","soilLENO-0","soil0","TNA_MNA"," 679"," 420","1348"," 373"," 420","1654",0.618556701030928,0.888095238095238,"303","187",1.62032085561497,"1257"," 402",3.12686567164179
"200","ST0LENOP19","LENO",19,0,"soil","LIST",23.5,5.81,33.2514003,23.51864607,18.1,1386,20,-88.16136733,31.85631101,4.448893036,FALSE,NA,NA,NA,0.366250928,0.596051846,NA,NA,NA,NA,18.93166667,2.361666667,49.36,"LENO-19","LENO-0","soilLENO-0","soil0","TNA_MNA"," 706"," 334","1407"," 326"," 430","1691",0.473087818696884,0.758139534883721,"271","225",1.20444444444444,"1360"," 380",3.57894736842105
"201","ST0LENOP21","LENO",21,0,"soil","PITA",19.93333333,5.87,41.47845465,24.6188527,18.1,1386,20,-88.16106654,31.85721622,5.208393805,TRUE,NA,NA,NA,0.318051132,0.46716927,NA,NA,NA,NA,NA,NA,NA,"LENO-21","LENO-0","soilLENO-0","soil0","TNA_MNA"," 723"," 446","1278"," 364"," 402","1681",0.616874135546335,0.90547263681592,"310","182",1.7032967032967,"1644"," 284",5.7887323943662
"202","ST0LENOP31","LENO",31,0,"soil","QUPA",39.63333333,5.92,41.13066981,34.46846645,18.1,1386,20,-88.1626558,31.85359156,5.59182532,TRUE,NA,NA,NA,0.269241312,0.477332529,NA,NA,NA,NA,25.01333333,1.983333333,49.53,"LENO-31","LENO-0","soilLENO-0","soil0","TNA_MNA"," 756"," 467","1224"," 436"," 463","1548",0.617724867724868,0.941684665226782,"373","223",1.67264573991031,"1473"," 414",3.55797101449275
"203","ST0LENOP36","LENO",36,0,"soil","PITA",16.23333333,5.97,40.16199731,25.34191314,18.1,1386,20,-88.16040581,31.85472583,5.179460962,TRUE,NA,NA,NA,0.320253934,0.631110648,NA,NA,NA,NA,NA,NA,NA,"LENO-36","LENO-0","soilLENO-0","soil0","TNA_MNA"," 722"," 507","1218"," 412"," 396","1639",0.702216066481994,1.04040404040404,"360","191",1.8848167539267,"1590"," 338",4.70414201183432
"204","ST0SERCP02","SERC",2,0,"soil","LITU",30.13333333,5.43,36.6515014,28.490589,13.6,1075,15,-76.55678514,38.89871357,5.207475254,FALSE,NA,NA,NA,0.547537345,0.865235607,NA,NA,NA,NA,15.02307692,2.041538462,48.79038462,"SERC-2","SERC-0","soilSERC-0","soil0","TNA_MNA"," 584"," 705","1158"," 591"," 519","1337",1.20719178082192,1.13872832369942,"527","267",1.97378277153558,"1470"," 501",2.93413173652695
"205","ST0SERCP06","SERC",6,0,"soil","ACRU",40.3,4.43,47.57804112,36.38742448,13.6,1075,15,-76.55569478,38.896476,3.467688836,TRUE,NA,NA,NA,0.557622335,0.698921216,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-6","SERC-0","soilSERC-0","soil0","TNA_MNA"," 816"," 382","1249"," 413"," 688","1346",0.468137254901961,0.600290697674419,"333","459",0.725490196078431,"1331"," 493",2.69979716024341
"206","ST0SERCP08","SERC",8,0,"soil","LITU",31.6,5.48,39.66257732,29.04578374,13.6,1075,15,-76.55618099,38.89412723,6.538776456,FALSE,NA,NA,NA,0.426538364,0.557672746,50.28540283,48.25594341,15.1708777,24.34847102,15.02307692,2.041538462,48.79038462,"SERC-8","SERC-0","soilSERC-0","soil0","TNA_MNA"," 666"," 398","1383"," 455"," 495","1497",0.597597597597598,0.919191919191919,"286","178",1.60674157303371,"1302"," 445",2.92584269662921
"207","ST0SERCP09","SERC",9,0,"soil","ACRU",34,4.83,42.87636396,30.41308729,13.6,1075,15,-76.55639034,38.89325803,4.540871993,TRUE,NA,NA,NA,0.465193,0.769634833,47.6368111,47.67289723,14.77362722,25.57550174,10.89166667,1.521666667,48.75666667,"SERC-9","SERC-0","soilSERC-0","soil0","TNA_MNA"," 803"," 427","1217"," 410"," 514","1523",0.531755915317559,0.797665369649806,"307","216",1.4212962962963,"1383"," 425",3.25411764705882
"208","ST0SERCP10","SERC",10,0,"soil","FAGR",20.9,4.71,38.54498103,25.26739853,13.6,1075,15,-76.5571512,38.8927417,4.945373558,TRUE,NA,NA,NA,0.205907289,0.403052947,30.09068599,40.67289186,13.79630231,27.44269641,20.99888889,1.689444444,48.63,"SERC-10","SERC-0","soilSERC-0","soil0","TNA_MNA","993","499","955"," 753"," 476","1218",0.502517623363545,1.58193277310924,"437","212",2.06132075471698,"1160"," 879",1.31968145620023
"209","ST0SERCP19","SERC",19,0,"soil","LITU",38.93333333,6.54,36.97358458,28.12844298,13.6,1075,15,-76.55945326,38.88610565,6.126539391,FALSE,NA,NA,NA,0.618274496,0.813313452,39.65346461,44.6974156,17.25169004,19.8210703,15.02307692,2.041538462,48.79038462,"SERC-19","SERC-0","soilSERC-0","soil0","TNA_MNA"," 717"," 463","1267"," 391"," 453","1603",0.645746164574616,0.863134657836645,"292","240",1.21666666666667,"1532"," 410",3.73658536585366
"210","ST0SERCP20","SERC",20,0,"soil","FAGR",16.96666667,4.49,36.53492319,24.55320429,13.6,1075,15,-76.56112941,38.88562898,4.389189027,TRUE,NA,NA,NA,0.244493427,0.43812155,27.99466295,40.6405849,17.00022844,26.60768792,20.99888889,1.689444444,48.63,"SERC-20","SERC-0","soilSERC-0","soil0","TNA_MNA"," 802"," 383","1262"," 539"," 633","1275",0.477556109725686,0.851500789889415,"347","112",3.09821428571429,"1719"," 587",2.92844974446337
"211","ST0SERCP21","SERC",21,0,"soil","LITU",19.63333333,4.69,33.82059027,22.76632633,13.6,1075,15,-76.56181287,38.88611965,4.409133585,FALSE,NA,NA,NA,0.360182983,0.540045467,NA,NA,NA,NA,15.02307692,2.041538462,48.79038462,"SERC-21","SERC-0","soilSERC-0","soil0","TNA_MNA"," 802"," 504","1141"," 639"," 336","1472",0.628428927680798,1.90178571428571,"426","142",3,"1454"," 814",1.78624078624079
"212","ST0SERCP24","SERC",24,0,"soil","FAGR",25.3,5.23,42.43184949,30.3151192,13.6,1075,15,-76.56293248,38.88898374,5.382236782,TRUE,NA,NA,NA,0.292159952,0.652153221,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-24","SERC-0","soilSERC-0","soil0","TNA_MNA"," 738"," 579","1130"," 556"," 584","1307",0.784552845528455,0.952054794520548,"424","201",2.10945273631841,"1518"," 475",3.19578947368421
"213","ST0SERCP25","SERC",25,0,"soil","ACRU",25.5,4.97,33.41855036,26.96905978,13.6,1075,15,-76.56318397,38.88987665,4.642152566,TRUE,NA,NA,NA,0.401548576,0.69870361,NA,NA,NA,NA,10.89166667,1.521666667,48.75666667,"SERC-25","SERC-0","soilSERC-0","soil0","TNA_MNA"," 640"," 549","1258"," 485"," 455","1507",0.8578125,1.06593406593407,"359","154",2.33116883116883,"1481"," 448",3.30580357142857
"214","ST0SERCP28","SERC",28,0,"soil","ACRU",47.56666667,5.67,34.86681442,36.15461317,13.6,1075,15,-76.56357174,38.89193464,3.339788682,TRUE,NA,NA,NA,0.430485642,0.854965288,38.91426085,45.76042766,19.7717801,24.85246524,10.89166667,1.521666667,48.75666667,"SERC-28","SERC-0","soilSERC-0","soil0","TNA_MNA"," 750"," 563","1134"," 436"," 457","1554",0.750666666666667,0.954048140043764,"364","387",0.940568475452196,"1495"," 382",3.91361256544503
"215","ST0SERCP36","SERC",36,0,"soil","FAGR",38.73333333,5.84,39.88952675,28.89856282,13.6,1075,15,-76.55916494,38.89669237,6.006608499,TRUE,NA,NA,NA,0.343813181,0.585654446,NA,NA,NA,NA,20.99888889,1.689444444,48.63,"SERC-36","SERC-0","soilSERC-0","soil0","TNA_MNA"," 764"," 386","1297"," 345"," 440","1662",0.505235602094241,0.784090909090909,"257","251",1.02390438247012,"1513"," 344",4.39825581395349
"216","ST0TALLP05","TALL",5,0,"soil","PIPA",11.1,4.6,35.00383567,17.98174987,17.2,1383,135,-87.42573023,32.95089252,3.359572105,TRUE,NA,NA,NA,0.131037255,0.233070054,NA,NA,NA,NA,19.02933333,0.791666667,49.87233333,"TALL-5","TALL-0","soilTALL-0","soil0","TNA_MNA"," 831"," 501","1115"," 660"," 349","1438",0.602888086642599,1.89111747851003,"459","101",4.54455445544554,"1435"," 729",1.96844993141289
"217","ST0TALLP06","TALL",6,0,"soil","QUFA",15.63333333,4.59,34.02273743,18.1046444,17.2,1383,135,-87.42528368,32.95113896,3.641509228,TRUE,NA,NA,NA,0.171235704,0.24747662,NA,NA,NA,NA,18.78428571,1.632857143,49.90428571,"TALL-6","TALL-0","soilTALL-0","soil0","TNA_MNA","1064"," 601"," 782"," 823"," 400","1224",0.56484962406015,2.0575,"551","176",3.13068181818182,"1421"," 782",1.81713554987212
"218","ST0TALLP09","TALL",9,0,"soil","QUFA",6.1,4.86,30.30829446,10.92916429,17.2,1383,135,-87.42384626,32.95212175,2.958829349,TRUE,NA,NA,NA,0.213736919,0.382147363,NA,NA,NA,NA,18.78428571,1.632857143,49.90428571,"TALL-9","TALL-0","soilTALL-0","soil0","TNA_MNA"," 818"," 479","1150"," 584"," 506","1357",0.585574572127139,1.15415019762846,"416","184",2.26086956521739,"1331"," 758",1.75593667546174
"219","ST0TALLP10","TALL",10,0,"soil","PIPA",6.2,4.7,36.71680771,13.15692053,17.2,1383,135,-87.42346236,32.95240649,3.974801135,TRUE,NA,NA,NA,0.139907764,0.209297299,NA,NA,NA,NA,19.02933333,0.791666667,49.87233333,"TALL-10","TALL-0","soilTALL-0","soil0","TNA_MNA"," 987"," 412","1048"," 670"," 618","1159",0.41742654508612,1.08414239482201,"378","299",1.26421404682274,"1215"," 867",1.40138408304498
"220","ST0TALLP19","TALL",19,0,"soil","LITU",7.633333333,5.08,26.63096248,10.46633757,17.2,1383,135,-87.41792308,32.9533346,2.962300603,FALSE,NA,NA,NA,0.405186596,0.497615216,NA,NA,NA,NA,16.56857143,2.624285714,48.58571429,"TALL-19","TALL-0","soilTALL-0","soil0","TNA_MNA"," 892"," 523","1032"," 668"," 483","1296",0.586322869955157,1.38302277432712,"451","235",1.91914893617021,"1301"," 747",1.74163319946452
"221","ST0TALLP23","TALL",23,0,"soil","PIPA",8.633333333,5.27,35.11421639,15.47117654,17.2,1383,135,-87.42012092,32.95712466,3.492555919,TRUE,NA,NA,NA,0.151524002,0.168350503,NA,NA,NA,NA,19.02933333,0.791666667,49.87233333,"TALL-23","TALL-0","soilTALL-0","soil0","TNA_MNA"," 790"," 406","1251"," 482"," 451","1514",0.513924050632911,1.06873614190687,"358","166",2.1566265060241,"1197"," 626",1.91214057507987
"222","ST0TALLP27","TALL",27,0,"soil","LITU",32.16666667,5.14,30.67159526,19.36135701,17.2,1383,135,-87.42286464,32.95556031,2.565089985,FALSE,NA,NA,NA,0.319713945,NA,NA,NA,NA,NA,16.56857143,2.624285714,48.58571429,"TALL-27","TALL-0","soilTALL-0","soil0","TNA_MNA","810","647","990"," 639"," 494","1314",0.798765432098765,1.29352226720648,"548","314",1.74522292993631,"1593"," 428",3.72196261682243
"223","ST0TALLP28","TALL",28,0,"soil","QUFA",4.833333333,5.17,30.63856441,10.59259259,17.2,1383,135,-87.42399061,32.95577425,3.21755263,TRUE,NA,NA,NA,0.158931288,0.230545544,NA,NA,NA,NA,18.78428571,1.632857143,49.90428571,"TALL-28","TALL-0","soilTALL-0","soil0","TNA_MNA","889","570","988"," 639"," 453","1355",0.641169853768279,1.41059602649007,"474","186",2.54838709677419,"1238"," 708",1.74858757062147
"224","ST0TALLP29","TALL",29,0,"soil","PIPA",1.533333333,4.93,29.88161451,5.913222753,17.2,1383,135,-87.42520814,32.95596504,3.359547489,TRUE,NA,NA,NA,0.176916149,0.187487178,NA,NA,NA,NA,19.02933333,0.791666667,49.87233333,"TALL-29","TALL-0","soilTALL-0","soil0","TNA_MNA","1106"," 591"," 750","944","522","981",0.534358047016275,1.80842911877395,"525","343",1.53061224489796,"1200"," 800",1.5
"225","ST0TALLP31","TALL",31,0,"soil","LITU",17.33333333,5.01,32.8199045,19.78358106,17.2,1383,135,-87.428125,32.95434611,4.241297809,FALSE,NA,NA,NA,0.494732324,NA,NA,NA,NA,NA,16.56857143,2.624285714,48.58571429,"TALL-31","TALL-0","soilTALL-0","soil0","TNA_MNA"," 756"," 523","1168"," 565"," 439","1443",0.691798941798942,1.2870159453303,"446","199",2.24120603015075,"1224"," 683",1.79209370424597
"226","ST0TALLP32","TALL",32,0,"soil","QUFA",5.966666667,4.99,27.72843643,15.10989011,17.2,1383,135,-87.42940032,32.95434923,3.389732817,TRUE,NA,NA,NA,0.202868641,0.33617806,NA,NA,NA,NA,18.78428571,1.632857143,49.90428571,"TALL-32","TALL-0","soilTALL-0","soil0","TNA_MNA"," 717"," 409","1321"," 540"," 440","1467",0.570432357043236,1.22727272727273,"361","121",2.98347107438017,"1178"," 650",1.81230769230769
"227","ST0TREEP04","TREE",4,0,"soil","ACSA",26.4,4.5,46.38449472,32.52446265,4.8,797,472,-89.58383469,45.4934156,5.128411423,TRUE,NA,NA,NA,0.134389644,0.431305749,NA,NA,NA,NA,7.483333333,1.446666667,47.01,"TREE-4","TREE-0","soilTREE-0","soil0","TNA_MNA"," 825"," 600","1022"," 574"," 534","1339",0.727272727272727,1.0749063670412,"472","180",2.62222222222222,"1691"," 457",3.70021881838074
"228","ST0TREEP08","TREE",8,0,"soil","TSCA",60,4.02,86.00904115,79.38597422,4.8,797,472,-89.58451929,45.4932195,22.29597302,FALSE,NA,NA,NA,0.216458752,0.370455179,NA,NA,NA,NA,7.45,0.99,49.44,"TREE-8","TREE-0","soilTREE-0","soil0","TNA_MNA","1108"," 333","1006"," 390"," 558","1499",0.300541516245487,0.698924731182796,"244","374",0.6524064171123,"1589"," 508",3.12795275590551
"229","ST0TREEP11","TREE",11,0,"soil","ACRU",38.63333333,4.78,57.92992497,47.46207643,4.8,797,472,-89.58723685,45.49495713,7.862013449,TRUE,NA,NA,NA,0.198995294,0.351055656,NA,NA,NA,NA,9.476666667,1.853333333,49.22,"TREE-11","TREE-0","soilTREE-0","soil0","TNA_MNA"," 994"," 309","1144"," 334"," 881","1232",0.310865191146881,0.379114642451759,"265","649",0.408320493066256,"1115"," 499",2.23446893787575
