site,plot,tag,species,litterMass.wcorr.T0,dowelMass.wcorr.T0,time.point,litterMass.wcorr,dowelMass.wcorr,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,days_elapsed,years_elapsed,k_litter,soil.vwc,GWC,WHC,MAT,MAP,Elevation,Longitude,Latitude,Species,soil.SIR,soil.pH,high.rep
GRSM,3,703,ACRU,5.247522124,2.241,1,1.888404638,1.886893625,3.359117486,0.64013403,0.354106375,0.158012662,290,0.794520548,1.286340077,34.6,0.480938006,0.607035322,13.1,1375,579,-83.51087531,35.68935048,ACRU,8.621504024,4.81,TRUE
GRSM,3,705,ACRU,5.429542773,2.097,1,2.775095485,1.684538226,2.654447288,0.488889654,0.412461774,0.196691356,290,0.794520548,0.84474816,34.6,0.480938006,0.607035322,13.1,1375,579,-83.51087531,35.68935048,ACRU,8.621504024,4.81,TRUE
GRSM,3,706,ACRU,5.709233038,2.376,1,2.914943705,1.818192469,2.794289333,0.489433399,0.557807531,0.234767479,290,0.794520548,0.846087857,34.6,0.480938006,0.607035322,13.1,1375,579,-83.51087531,35.68935048,ACRU,8.621504024,4.81,TRUE
GRSM,3,707,ACRU,5.544970501,2.232,2,1.8595,1.6624,3.685470501,0.664651056,0.5696,0.255197133,626,1.715068493,0.637049582,39.5,0.480938006,0.607035322,13.1,1375,579,-83.51087531,35.68935048,ACRU,8.621504024,4.81,TRUE
GRSM,3,708,ACRU,5.651519174,2.088,2,2.1844,1.2253,3.467119174,0.613484457,0.8627,0.413170498,626,1.715068493,0.554253782,39.5,0.480938006,0.607035322,13.1,1375,579,-83.51087531,35.68935048,ACRU,8.621504024,4.81,TRUE
GRSM,3,710,ACRU,5.633761062,2.331,1,0.915040799,1.412942325,4.718720263,0.837579054,0.918057675,0.393847137,290,0.794520548,2.287623509,34.6,0.480938006,0.607035322,13.1,1375,579,-83.51087531,35.68935048,ACRU,8.621504024,4.81,TRUE
GRSM,4,712,LITU,5.195429213,2.511,1,2.809675223,1.226520154,2.38575399,0.459202482,1.284479846,0.511541157,290,0.794520548,0.773687157,16.2,0.332129674,0.538590297,13.1,1375,579,-83.5104341,35.68928036,LITU,8.575828598,4.87,FALSE
GRSM,4,713,LITU,4.982076404,2.241,2,1.9544,0.7372,3.027676404,0.607713764,1.5038,0.671039714,626,1.715068493,0.54561291,25.96666667,0.332129674,0.538590297,13.1,1375,579,-83.5104341,35.68928036,LITU,8.575828598,4.87,FALSE
GRSM,5,716,QUMO,3.828960843,2.178,1,1.887191948,1.602086723,1.941768895,0.507126862,0.575913277,0.264422992,290,0.794520548,0.890478497,11.63333333,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
GRSM,5,718,QUMO,4.160451807,2.34,1,2.133088381,2.051546459,2.027363426,0.487294054,0.288453541,0.123270744,290,0.794520548,0.840825079,11.63333333,0.279067089,0.479027823,13.1,1375,579,-83.51026648,35.68947186,QUMO,8.885959749,4.75,TRUE
